X,Y,ObjectId,EntityCode,EntityOfficialName,AgreementNumber,EntityType,EntityTypeName,EntityTypeGroup,EntityTypeGroupName,EntityTypeCategory,EntityTypeCategoryName,EntityCountyCode,EntityCountyName,EntityCharteringAgencyCode,EntityCharteringAgencyName,EntityGeographicLEADistrictCode,EntityGeographicLEADistrictOffi,EntityNCESCode,EntityLocaleCode,EntityLocaleName,EntityAuthorizedEducationalSett,EntityActualEducationalSettings,EntityStatus,EntityOpenDate,EntityCloseDate,EntityAuthorizedGrades,EntityActualGrades,EntityFIPSCode,EnttiyREMCid,EntityScheduleList,EntityEarlyChildhoodProgramList,ReceivesTransportationServicesF,ReceivesTransportationService_1,EntityReligiousOrientationCode,EntityReligiousOrientationName,EntityEmail,EntityPhone,EntityPhoneExt,EntityFax,EntityFaxExt,EntityLeadAdminHonorific,EntityLeadAdminFirstName,EntityLeadAdminLastName,EntityPhysicalStreet,EntityPhysicalCity,EntityPhysicalState,EntityPhysicalZip4,EntityMailingStreet,EntityMailingCity,EntityMailingState,EntityMailingZip4,EarlyMiddleCollege
-83.1694860919999,42.4230561800001,11,990003550,Racquet Up Detroit,990003550,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82160,Wayne-Westland Community School District,,,,,,Open-Active,2010/04/20 00:00:00,,,,26163,0,,,0,,,,rashard@racquetup.org,3133973470,,0,,Mr.,Rashard,Haynesworth,18100 Meyers Rd                                             ,Detroit                                                     ,MI,482351493,18100 MEYERS RD,DETROIT,MI,482351493,
-83.155994597,42.4170652060001,12,990000216,Rainbow Daycare LLC,990000216,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2009/07/28 00:00:00,,,,26163,0,,,0,,,,charlotteissupermom@twmi.rr.com,3133193202,,0,,Mrs.,Charlotte,Jackson,8600 WEST MCNICHOLS RD,DETROIT,MI,482212571,8600 WEST MCNICHOLS RD,DETROIT,MI,482212571,
-83.179543785,42.4186388580001,13,990004728,"Ready 2 Learn Childcare Center, LLC",990004728,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82160,Wayne-Westland Community School District,,,,,,Open-Active,2014/06/06 00:00:00,,,,26163,0,,,0,,,,jlcarter2009@comcast.net,3137047330,4689470   ,0,,Ms.,Veronda,Carter,17300 Schaefer Hwy                                          ,Detroit                                                     ,MI,482354133,17300 Schaefer Hwy,Detroit,MI,48235,
-83.1072338709999,42.3075208060001,14,990005077,Real Parks Help,990005077,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2014/11/08 00:00:00,,,,26163,0,,,0,,,,tutoringconsultant@yahoo.com,3132210934,,0,,Miss,Andrea,Brown,846 Casgrain St                                             ,Detroit                                                     ,MI,482092204,846 CASGRAIN ST,DETROIT,MI,482092204,
-83.0793744,42.334440149,15,990000110,Renaissance Outreach Mission,990000110,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2009/05/21 00:00:00,,,,26163,0,,,0,,,,sandmayberry@comcast.net,3132738386,,0,,Mrs.,Sandra,Mayberry,2800 15TH ST,DETROIT,MI,482161105,2800 15TH ST,DETROIT,MI,482161105,
-82.943513445,42.4115223490001,16,990001152,Restoration House Community Center,990001152,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2011/04/04 00:00:00,,,,26163,0,,,0,,,,rhcc@drmministries.org,3138845365,115       ,0,,Mrs.,Tenisia,Evans,16392 Harper Ave                                            ,Detroit                                                     ,MI,482242616,16392 HARPER AVE,DETROIT,MI,482242616,
-82.993775466,42.4490418930001,17,990000036,Kids around the Clock,990000036,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2007/03/26 00:00:00,,,,26163,0,,,0,,,,www.tonjacann@yahoo.com,3133084954,,0,,Mrs.,Tonja,Cann,12832 EAST 8 MILE RD,DETROIT,MI,482051154,12832 EAST 8 MILE RD,DETROIT,MI,482051154,
-83.134302073,42.4283805,18,990000104,Road Of Excellence Ministry Outreach Church,990000104,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2009/05/01 00:00:00,,,,26163,0,,,0,,,,deleah121@yahoo.com,3133414987,,0,,Mrs.,Linda,Coleman,18612 MUIRLAND ST,DETROIT,MI,482212203,18612 MUIRLAND ST,DETROIT,MI,482212203,
-82.9486928329999,42.4058617910001,19,990001143,Robinson Tennis Academy,990001143,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2011/03/31 00:00:00,,,,26163,0,,,0,,,,lisa1122thomas@yahoo.com,2488181686,,0,,Mrs.,Lisa ,Robinson,11475 E Outer Dr                                            ,Detroit                                                     ,MI,482243226,11475 E OUTER DR,DETROIT,MI,482243226,
-82.959400149,42.3940324210001,20,990000111,S.H.E. (Sisters with Hope to Evolve) Church,990000111,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2008/06/09 00:00:00,,,,26163,0,,,0,,,,felice311@hotmail.com,3132182492,,0,,Ms.,Felice,Adediran,4874 LAKEWOOD ST,DETROIT,MI,482152105,4874 LAKEWOOD ST,DETROIT,MI,482152105,
-83.0135259149999,42.3640565060001,21,990004148,sha-sha's kiddy korner child care center,990004148,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2013/10/01 00:00:00,,,,26163,0,,,0,,,,vito1604@aol.com,3135795512,,0,,Mrs.,Joleka,Taylor-Lipscomb,781 E Grand Blvd                                            ,Detroit                                                     ,MI,482072529,781 E GRAND BLVD,DETROIT,MI,482072529,
-83.024216284,42.4350044290001,22,82SPX0012,KIDS AVENUE LLC,82SPX0012,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2008/10/06 00:00:00,,,,26163,0,,"CCare,GSRP",0,,,,kidsavenuechristian@yahoo.com,3138935439,,3138933599,,Mrs.,ELIZABETH ,OJO,19222 Van Dyke St                                           ,Detroit                                                     ,MI,482343348,19222 VAN DYKE ST,DETROIT,MI,482343348,
-82.937039171,42.3910731450001,23,990001655,Shining Stars Childcare,990001655,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2012/04/19 00:00:00,,,,26163,0,,,0,,,,dria313@yahoo.com,3135953179,,0,,Ms.,ZynQuwandria,Stokes,3514 Buckingham Ave                                         ,Detroit                                                     ,MI,48224,3514 BUCKINGHAM AVE,DETROIT,MI,482243533,
-82.94517443,42.387958381,24,990001631,KIDZ DAYZ INN LEARNING CENTER,990001631,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2011/05/09 00:00:00,,,,26163,0,,,0,,,,MARTINTRAC@YAHOO.COM,3138813030,,0,,Miss,TRACY,MARTIN,15121 Mack Ave                                              ,Detroit                                                     ,MI,48224,15121 MACK AVE,DETROIT,MI,48224,
-83.0551245079999,42.3441444900001,25,04784,Ecumenical Theological Seminary,820004784,46,Higher Education College/University,6,College/University,6,Higher Education,82,Wayne,,,0,,,,,,,Open-Active,1900/01/01 00:00:00,,,,26163,20,,,0,,,,lhannum@etseminary.org,3138315200,,3138311353,,Rev.,Marsha,Foster Boyd,2930 WOODWARD AVE,DETROIT,MI,482013035,2930 WOODWARD AVE,DETROIT,MI,482013035,
-82.9557882729999,42.4289183,26,990000427,Train Up a Child,990000427,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2010/01/26 00:00:00,,,,26163,0,,,0,,,,admin@homeworkmastery.com,3133726888,,0,,Ms.,Ruth,Lawton,12508 PAYTON ST,DETROIT,MI,482241002,12508 PAYTON ST,DETROIT,MI,482241002,
-83.1612351219999,42.409741834,27,990005651,Carmen Lockhart Inc,990005651,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2015/10/09 00:00:00,,,,26163,0,,,0,,,,mrslock313@me.com,3137398120,,0,,Mrs.,Carmen,Lockhart,10112 Puritan St                                            ,Detroit                                                     ,MI,482381058,10112 PURITAN ST,DETROIT,MI,482381058,
-83.200530667,42.372198321,28,990000115,Faith Redemption Center,990000115,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,1987/08/01 00:00:00,,,,26163,0,,,0,,,,motherbjones@gmail.com,3138360229,,0,,Mrs.,Barbara,Jones,15727 PLYMOUTH RD,DETROIT,MI,482271633,15727 PLYMOUTH RD,DETROIT,MI,482271633,
-83.1713592519999,42.414561878,29,,,82910,0,,1,District,4,PSA,82,Wayne,05133,Grand Valley State University,82015,Detroit Public Schools Community District,2600131,11,City: Large,"GenEd,Alt,SpecEd","GenEd,Alt,SpecEd",Open-Active,1995/10/01 00:00:00,,"KG,KG-Part,1,2,3,4,5,6,7,8","KG,KG-Part,1,2,3,4,5,6,7,8",26163,20,,,0,,,,cprice6360@aol.com,3133414944,,3133417014,,Dr.,Constance,Price,16827 APPOLINE ST,DETROIT,MI,482354205,16827 APPOLINE ST,DETROIT,MI,482354205,
-83.026518532,42.4266256120001,30,,,82924,0,,1,District,4,PSA,82,Wayne,04884,Saginaw Valley State University,82015,Detroit Public Schools Community District,2600169,11,City: Large,"GenEd,SpecEd","GenEd,SpecEd",Open-Active,1997/09/02 00:00:00,,"KG-Part,1,2,3,4,5,6,7,8","KG-Part,1,2,3,4,5,6,7,8",26163,20,Full school year,,0,,,,rhayward@winans.spfs.k12.mi.us,3138737625,,3138737627,,Dr.,Randy,Hayward,7616 EAST NEVADA ST,DETROIT,MI,482343284,7616 EAST NEVADA ST,DETROIT,MI,482343284,
-82.990970757,42.444247708,31,,,82751,0,,1,District,4,PSA,82,Wayne,05017,Central Michigan University,82015,Detroit Public Schools Community District,2601010,11,City: Large,"GenEd,PK,SpecEd","GenEd,PK,SpecEd",Open-Active,2012/07/01 00:00:00,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",26163,20,,,0,,,,mross@phalenacademies.org,3133143730,,0,,Mrs.,Detra,Coleman,20045 JOANN ST,DETROIT,MI,482051136,20045 JOANN ST,DETROIT,MI,482051136,
-83.153776797,42.2694843260001,32,,,82713,0,,1,District,4,PSA,82,Wayne,05133,Grand Valley State University,82015,Detroit Public Schools Community District,2601075,11,City: Large,"GenEd,PK,SpecEd","GenEd,PK,SpecEd",Open-Active,2014/07/01 00:00:00,,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5",26163,20,,GSRP,0,,,,ralph@npfenow.org,3138521500,,0,,Mrs.,Kimberly,Bland,2450 S Beatrice St                                          ,Detroit                                                     ,MI,482171631,2450 S BEATRICE ST,DETROIT,MI,482171631,
-83.075406688,42.3912549,33,,,82735,0,,1,District,4,PSA,82,Wayne,05133,Grand Valley State University,82015,Detroit Public Schools Community District,2600998,11,City: Large,"GenEd,SpecEd","GenEd,SpecEd",Open-Active,2011/09/06 00:00:00,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",26163,20,,,0,,,,RBland@detroitedisonpsa.org,3138331100,,0,,Mrs.,Kimberly,Bland,1000 Lynn St,Detroit,MI,482111081,1000 LYNN ST,DETROIT,MI,482111081,
-83.042669571,42.389816954,34,,,63912,0,,1,District,4,PSA,82,Wayne,04884,Saginaw Valley State University,82015,Detroit Public Schools Community District,2600217,11,City: Large,"GenEd,PK,SpecEd","GenEd,PK,SpecEd",Open-Active,1999/09/01 00:00:00,,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8,9,10,11,12",26163,17,Full school year,TIPre,0,,,,ahmed@emaninc.com,3139251000,,3139251133,,Mr.,Larry,Cowger,8228 Conant Street,DETROIT,MI,482111552,8228 Conant Street,DETROIT,MI,482111552,
-83.260224418,42.416171601,35,,,82956,0,,1,District,4,PSA,82,Wayne,05017,Central Michigan University,82015,Detroit Public Schools Community District,2600242,11,City: Large,"GenEd,PK,Alt,SpecEd","GenEd,PK,Alt,SpecEd",Open-Active,1999/09/01 00:00:00,,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8,9,10,11,12",26163,20,"Full school year, Semester","CCare,GSRP",0,,,,sclaude@oldredford.org,3137667615,,2487992317,,Ms.,Sabrina,Claude,17195 REDFORD ST,DETROIT,MI,482193259,17195 REDFORD ST,DETROIT,MI,482193259,
-82.971045606,42.3667055280001,36,,,82737,0,,1,District,4,PSA,82,Wayne,82015,Detroit Public Schools Community District,82015,Detroit Public Schools Community District,2601076,11,City: Large,"GenEd,Alt,SpecEd,PCE","GenEd,Alt,SpecEd,PCE",Open-Active,2014/07/01 00:00:00,,"7,8,9,10,11,12","7,8,9,10,11,12",26163,20,,,0,,,,mshawver@pathwaysdetroit.com,3132093804,,3132641042,,Ms.,Michelle,Shawver,11340 E Jefferson Ave                                       ,Detroit                                                     ,MI,482143331,11340 E JEFFERSON AVE,DETROIT,MI,482143331,
-83.2058492799999,42.4394166220001,37,,,82765,0,,1,District,4,PSA,82,Wayne,05017,Central Michigan University,82015,Detroit Public Schools Community District,,,,"GenEd,SpecEd","GenEd,SpecEd",Open-Active,2018/07/02 00:00:00,,"KG,1,2,3,4,5","KG,1,2,3,4,5",26163,20,,,0,,,,110.sglenn@nhaschools.com,3139339727,,0,,Ms.,Stephanie,Glenn,19940 MANSFIELD ST,DETROIT,MI,482352332,19940 MANSFIELD ST,DETROIT,MI,482352332,
-83.0475147509999,42.360128086,38,,,82904,0,,1,District,4,PSA,82,Wayne,05017,Central Michigan University,82015,Detroit Public Schools Community District,2600125,11,City: Large,"GenEd,SpecEd","GenEd,SpecEd",Open-Active,1995/09/05 00:00:00,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",26163,20,Full school year,,0,,,,lashanda@plymouthed.org,3138313280,102       ,3138315766,,Mr.,Ronald,Newton,1460 EAST FOREST AVE,DETROIT,MI,482071000,1460 EAST FOREST AVE,DETROIT,MI,482071000,
-82.9576128589999,42.4361115840001,39,,,82727,0,,1,District,4,PSA,82,Wayne,05218,Lake Superior State University,82015,Detroit Public Schools Community District,2600985,11,City: Large,"GenEd,SpecEd","GenEd,SpecEd",Open-Active,2011/09/06 00:00:00,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",26163,20,Quarter,,0,,,,90.cbyse@heritageacademies.com,3133711300,,3132219942,,Ms.,Crystal,Byse,15865 East Seven Mile Road,Detroit,MI,48205,15865 East Seven Mile Road,Detroit,MI,48205,
-83.209749307,42.4224643690001,40,,,82748,0,,1,District,4,PSA,82,Wayne,82015,Detroit Public Schools Community District,82015,Detroit Public Schools Community District,2601012,11,City: Large,"GenEd,PK,SpecEd","GenEd,PK,SpecEd",Open-Active,2012/08/01 00:00:00,,"KG,1,2,3,4,5","KG,1,2,3,4,5",26163,20,Full school year,,0,,,,rscott@solidrock-management.com,3138737625,,0,,Mr.,Reginald,Scott,16411 Curtis,Detroit,MI,482353202,16411 Curtis,Detroit,MI,48238,
-83.2284481569999,42.343480261,41,990001445,Family First Christian Child Care Center,990001445,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82160,Wayne-Westland Community School District,,,,,,Open-Active,2011/10/24 00:00:00,,,,26163,0,,,0,,,,jojo8845@aol.com,3132712825,,0,,Mrs.,Jawana,Patillo-Edwards,19212 W Warren Ave,Detroit,MI,482283346,19212 W WARREN AVE,DETROIT,MI,482283346,
-83.104521355,42.3886539980001,42,990002985,Cass Community Social Services Inc,990002985,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2013/04/18 00:00:00,,,,26163,0,,,0,,,,ccumcac@aol.com,3138832277,,0,,Mrs.,Monique,Franklin,11850 Woodrow Wilson St                                     ,Detroit                                                     ,MI,482061351,11850 WOODROW WILSON ST,DETROIT,MI,482061351,
-83.1598243449999,42.412500783,43,990002489,Kingdom Kare Learning Center,990002489,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2013/05/06 00:00:00,,,,26163,0,,CCare,0,,,,kingdomkarelc@gmail.com,3134689437,,0,,Mrs.,LaKendra,Hampton,16520 Wyoming St                                            ,Detroit                                                     ,MI,482212849,16520 WYOMING ST,DETROIT,MI,482212849,
-83.248529253,42.4142114200001,44,820001534,Siena Literacy Center,820001534,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2008/10/06 00:00:00,,,,26163,0,,,0,,,,dnesbitt@sienaliteracy.org,3135328404,,0,,Ms.,Donna,Nesbitt,16888 Trinity,DETROIT,MI,482193968,16888 Trinity ,Detroit,MI,48219,
-83.169872513,42.4199751880001,45,02173,Lewis College of Business,820002173,46,Higher Education College/University,6,College/University,6,Higher Education,82,Wayne,,,0,,,,,,,Open-Active,1900/01/01 00:00:00,,,,26163,20,,,0,,,,fgillespie@lewiscollege.edu,3138626300,,3138621027,,Mr.,Frank,"Gillespie, IV",17370 MEYERS RD,DETROIT,MI,482351423,17370 MEYERS RD,DETROIT,MI,482351423,
-83.1768702529999,42.421001231,46,990000272,TREE OF LIFE SERVICES,990000272,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2009/10/29 00:00:00,,,,26163,0,,,0,,,,annieburton53@yahoo.com,3133411826,,0,,Mrs.,Annie,Burton,17555 JAMES COUZENS FWY STE 2,DETROIT,MI,482352658,17555 JAMES COUZENS FWY STE 2,DETROIT,MI,482352658,
-83.109450775,42.33461415,47,,,82755,0,,1,District,4,PSA,82,Wayne,05133,Grand Valley State University,82015,Detroit Public Schools Community District,2601049,11,City: Large,"GenEd,SpecEd","GenEd,SpecEd",Open-Active,2013/07/01 00:00:00,,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8",26163,20,,,0,,,,kim.pritchett@swdcs.org,3137824422,,0,,Miss,Jill,Geden,4001 29th St                                                ,Detroit                                                     ,MI,482102601,4001 29th St                                                ,Detroit                                                     ,MI,482102601,
-83.033144885,42.361074559,48,,,82706,0,,1,District,4,PSA,82,Wayne,01047,Eastern Michigan University,82015,Detroit Public Schools Community District,2601051,11,City: Large,"GenEd,SpecEd","GenEd,SpecEd",Open-Active,2013/07/01 00:00:00,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",26163,20,,,0,,,,amanda.boggsschool@gmail.com,3139232301,,0,,Ms.,Amanda,Rosman,4141 Mitchell St                                            ,Detroit                                                     ,MI,482071620,4141 MITCHELL ST,DETROIT,MI,482071620,
-82.9858323079999,42.3806607860001,49,,,82933,0,,1,District,4,PSA,82,Wayne,82015,Detroit Public Schools Community District,82015,Detroit Public Schools Community District,2600178,11,City: Large,"GenEd, SpecEd","GenEd, SpecEd",Open-Active,1997/09/08 00:00:00,,"KG, 1, 2, 3, 4, 5, 6, 7, 8","KG, 1, 2, 3, 4, 5, 6, 7, 8",26163,20,,,0,,,,edgersonc@gmail.com,3138236000,,3138239748,,Ms.,Cha-Rhonda,Edgerson,10800 EAST CANFIELD ST,DETROIT,MI,482141601,10800 EAST CANFIELD ST,DETROIT,MI,482141601,
-83.1456029349999,42.328137192,50,,,82950,0,,1,District,4,PSA,82,Wayne,05318,Oakland University,82015,Detroit Public Schools Community District,2600237,11,City: Large,"GenEd,Alt,SpecEd,BSAS","GenEd,Alt,SpecEd,BSAS",Open-Active,1998/11/03 00:00:00,,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8,9,10,11,12",26163,20,"Full school year, Summer Term",GSRP,0,,,,mlance@hesedu.com,3135650507,,3135650705,,Mrs.,Nawal,Hamadeh,4833 Ogden,DETROIT,MI,482102011,4833 Ogden,DETROIT,MI,48210,
-83.073614691,42.3626039100001,51,,,82702,0,,1,District,4,PSA,82,Wayne,05133,Grand Valley State University,82015,Detroit Public Schools Community District,2600956,11,City: Large,"GenEd,Alt,SpecEd","GenEd,Alt,SpecEd",Open-Active,2008/07/01 00:00:00,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12","KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",26163,20,,,0,,,,danielle.jackson@uprepschools.com,3138871613,,3138871607,,Ms.,Danielle,Jackson,600 ANTOINETTE ST,DETROIT,MI,482023457,P. O. Box 2339,DETROIT,MI,482023457,
-83.062174934,42.359062189,52,,,82701,0,,1,District,4,PSA,82,Wayne,05133,Grand Valley State University,82015,Detroit Public Schools Community District,2600952,11,City: Large,"GenEd,Alt,SpecEd","GenEd,Alt,SpecEd",Open-Active,2008/09/02 00:00:00,,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8,9,10,11,12",26163,20,Trimester,,0,,,,danielle.jackson@uprepschools.com,3138871613,,3138871607,,Ms.,Danielle,Jackson,5100 JOHN R ST,DETROIT,MI,48202,5100 JOHN R ST,DETROIT,MI,48202,
